mpId,nameFirst,nameLast,libelleAbrev,mandat,search,bluesky,pseudo,active
PA267780,Agnès,Firmin Le Bodo,HOR,1,https://bsky.app/search?q=Agn%C3%A8s+Firmin%20Le%20Bodo,0,,
PA840143,Guillaume,Florquin,RN,1,https://bsky.app/search?q=Guillaume+Florquin,0,,
PA1327,Nicolas,Forissier,DR,1,https://bsky.app/search?q=Nicolas+Forissier,0,,
PA840801,Emmanuel,Fouquart,RN,1,https://bsky.app/search?q=Emmanuel+Fouquart,0,,
PA793980,Charles,Fournier,ECOS,1,https://bsky.app/search?q=Charles+Fournier,1,charlesfournier.bsky.social,1
PA794678,Thierry,Frappé,RN,1,https://bsky.app/search?q=Thierry+Frapp%C3%A9,0,,
PA840235,Moerani,Frébault,EPR,1,https://bsky.app/search?q=Moerani+Fr%C3%A9bault,0,,
PA822617,Martine,Froger,LIOT,1,https://bsky.app/search?q=Martine+Froger,0,,
PA722284,Bruno,Fuchs,DEM,1,https://bsky.app/search?q=Bruno+Fuchs,0,,
PA722366,Jean-Luc,Fugit,EPR,1,https://bsky.app/search?q=Jean-Luc+Fugit,0,,
PA841139,Julien,Gabarron,RN,1,https://bsky.app/search?q=Julien+Gabarron,0,,
PA796070,Perceval,Gaillard,LFI-NFP,1,https://bsky.app/search?q=Perceval+Gaillard,0,,
PA719736,Camille,Galliard-Minier,EPR,1,https://bsky.app/search?q=Camille+Galliard-Minier,0,,
PA793892,Stéphanie,Galzy,RN,1,https://bsky.app/search?q=St%C3%A9phanie+Galzy,0,,
PA795010,Marie-Charlotte,Garin,ECOS,1,https://bsky.app/search?q=Marie-Charlotte+Garin,1,mcgarin.bsky.social,1
PA333285,Guillaume,Garot,SOC,1,https://bsky.app/search?q=Guillaume+Garot,0,,
PA722358,Thomas,Gassilloud,EPR,1,https://bsky.app/search?q=Thomas+Gassilloud,0,,
PA721024,Anne,Genetet,EPR,1,https://bsky.app/search?q=Anne+Genetet,1,agenetet.bsky.social,1
PA605991,Annie,Genevard,DR,0,https://bsky.app/search?q=Annie+Genevard,0,,
PA794470,Félicie,Gérard,HOR,1,https://bsky.app/search?q=F%C3%A9licie+G%C3%A9rard,0,,
PA794234,François,Gernigon,HOR,1,https://bsky.app/search?q=Fran%C3%A7ois+Gernigon,0,,
PA841737,Jonathan,Gery,RN,1,https://bsky.app/search?q=Jonathan+Gery,0,,
PA796034,Frank,Giletti,RN,1,https://bsky.app/search?q=Frank+Giletti,0,,
PA793832,Yoann,Gillet,RN,1,https://bsky.app/search?q=Yoann+Gillet,1,yoanngillet30.bsky.social,1
PA793102,Christian,Girard,RN,1,https://bsky.app/search?q=Christian+Girard,0,,
PA841419,Damien,Girard,ECOS,1,https://bsky.app/search?q=Damien+Girard,1,damiengirard.bsky.social,1
PA718674,Olga,Givernet,EPR,1,https://bsky.app/search?q=Olga+Givernet,1,olgagivernet.bsky.social,0
PA840939,Océane,Godard,SOC,1,https://bsky.app/search?q=Oc%C3%A9ane+Godard,0,,
PA841539,Julien,Gokel,SOC,1,https://bsky.app/search?q=Julien+Gokel,0,,
PA841605,Antoine,Golliot,RN,1,https://bsky.app/search?q=Antoine+Golliot,0,,
PA841869,Michel,Gonord,DR,0,https://bsky.app/search?q=Michel+Gonord,0,,
PA793362,José,Gonzalez,RN,1,https://bsky.app/search?q=Jos%C3%A9+Gonzalez,0,,
PA266797,Philippe,Gosselin,DR,1,https://bsky.app/search?q=Philippe+Gosselin,0,,
PA331973,Pascale,Got,SOC,1,https://bsky.app/search?q=Pascale+Got,0,,
PA721296,Guillaume,Gouffier Valente,EPR,1,https://bsky.app/search?q=Guillaume+Gouffier%20Valente,0,,
PA720560,Perrine,Goulet,DEM,1,https://bsky.app/search?q=Perrine+Goulet,0,,
PA794418,Florence,Goulet,RN,1,https://bsky.app/search?q=Florence+Goulet,0,,
PA793592,Géraldine,Grangier,RN,1,https://bsky.app/search?q=G%C3%A9raldine+Grangier,0,,
PA721764,Olivia,Grégoire,EPR,1,https://bsky.app/search?q=Olivia+Gr%C3%A9goire,0,,
PA840171,Emmanuel,Grégoire,SOC,1,https://bsky.app/search?q=Emmanuel+Gr%C3%A9goire,1,egregoire.bsky.social,1
PA267318,Jean-Carles,Grelier,DEM,1,https://bsky.app/search?q=Jean-Carles+Grelier,0,,
PA795540,Daniel,Grenon,NI,1,https://bsky.app/search?q=Daniel+Grenon,0,,
PA840757,Monique,Griseti,RN,1,https://bsky.app/search?q=Monique+Griseti,0,,
PA794058,Justine,Gruet,DR,1,https://bsky.app/search?q=Justine+Gruet,0,,
PA1567,Jérôme,Guedj,SOC,1,https://bsky.app/search?q=J%C3%A9r%C3%B4me+Guedj,0,,
PA841833,David,Guerin,HOR,0,https://bsky.app/search?q=David+Guerin,0,,
PA795310,Clémence,Guetté,LFI-NFP,1,https://bsky.app/search?q=Cl%C3%A9mence+Guett%C3%A9,1,clemenceguette.bsky.social,1
PA841451,Julien,Guibert,RN,1,https://bsky.app/search?q=Julien+Guibert,0,,
PA794734,Michel,Guiniot,RN,1,https://bsky.app/search?q=Michel+Guiniot,0,,
PA794478,David,Guiraud,LFI-NFP,1,https://bsky.app/search?q=David+Guiraud,1,davidguiraud.bsky.social,1
PA793218,Jordan,Guitton,RN,1,https://bsky.app/search?q=Jordan+Guitton,0,,
